iter	Passed	Remaining
1183	93838	64672
1184	93864	64556
1185	93888	64439
1186	93913	64323
1187	93936	64206
1188	93961	64090
1189	93985	63973
1190	94008	63856
1191	94030	63738
1192	94051	63620
1193	94073	63503
1194	94096	63387
1195	94118	63270
1196	94140	63153
1197	94161	63036
1198	94181	62918
1199	94202	62801
1200	94225	62686
1201	94247	62570
1202	94268	62453
1203	94290	62338
1204	94313	62223
1205	94331	62105
1206	94350	61988
1207	94371	61872
1208	94390	61755
1209	94409	61639
1210	94430	61524
1211	94450	61408
1212	94473	61294
1213	94497	61181
1214	94529	61074
1215	94556	60963
1216	94577	60849
1217	94599	60735
1218	94619	60621
1219	94640	60507
1220	94661	60394
1221	94697	60290
1222	94736	60188
1223	94776	60086
1224	94801	59976
1225	94821	59863
1226	94842	59750
1227	94862	59636
1228	94884	59524
1229	94904	59411
1230	94925	59299
1231	94946	59187
1232	94969	59076
1233	94989	58964
1234	95009	58852
1235	95029	58739
1236	95050	58628
1237	95070	58517
1238	95092	58406
1239	95113	58295
1240	95133	58184
1241	95153	58072
1242	95173	57961
1243	95194	57851
1244	95214	57740
1245	95233	57629
1246	95253	57519
1247	95276	57410
1248	95298	57300
1249	95317	57190
1250	95337	57080
1251	95358	56971
1252	95378	56861
1253	95399	56752
1254	95420	56644
1255	95441	56535
1256	95465	56428
1257	95489	56322
1258	95515	56216
1259	95539	56110
1260	95567	56006
1261	95590	55899
1262	95615	55794
1263	95635	55686
1264	95656	55579
1265	95678	55472
1266	95698	55364
1267	95720	55258
1268	95742	55151
1269	95769	55048
1270	95789	54941
1271	95808	54833
1272	95828	54726
1273	95846	54619
1274	95866	54512
1275	95889	54407
1276	95911	54302
1277	95933	54197
1278	95954	54091
1279	95974	53985
1280	95996	53880
1281	96016	53775
1282	96037	53669
1283	96056	53564
1284	96076	53458
1285	96097	53354
1286	96117	53249
1287	96138	53144
1288	96157	53039
1289	96177	52934
1290	96197	52830
1291	96217	52725
1292	96236	52621
1293	96255	52516
1294	96277	52413
1295	96297	52309
1296	96318	52206
1297	96338	52102
1298	96357	51999
1299	96377	51895
1300	96396	51791
1301	96415	51688
1302	96437	51586
1303	96457	51483
1304	96476	51380
1305	96498	51278
1306	96519	51176
1307	96539	51074
1308	96558	50971
1309	96578	50869
1310	96600	50768
1311	96620	50666
1312	96642	50566
1313	96665	50465
1314	96690	50367
1315	96716	50269
1316	96743	50171
1317	96767	50072
1318	96790	49973
1319	96815	49874
1320	96840	49776
1321	96863	49677
1322	96888	49579
1323	96912	49481
1324	96943	49386
1325	96968	49288
1326	96993	49191
1327	97020	49094
1328	97048	48998
1329	97075	48902
1330	97103	48807
1331	97129	48710
1332	97153	48613
1333	97179	48516
1334	97203	48419
1335	97228	48323
1336	97254	48227
1337	97277	48130
1338	97302	48033
1339	97327	47937
1340	97355	47843
1341	97382	47747
1342	97404	47650
1343	97428	47554
1344	97450	47457
1345	97476	47362
1346	97501	47266
1347	97524	47170
1348	97548	47074
1349	97568	46977
1350	97589	46880
1351	97608	46782
1352	97631	46686
1353	97654	46591
1354	97678	46496
1355	97701	46400
1356	97727	46306
1357	97756	46214
1358	97783	46121
1359	97809	46028
1360	97833	45933
1361	97855	45838
1362	97877	45743
1363	97904	45650
1364	97929	45557
1365	97956	45464
1366	97979	45370
1367	98003	45276
1368	98025	45181
1369	98048	45087
1370	98072	44994
1371	98094	44900
1372	98120	44807
